name,fullname,formula,producer,catalogue,place,comments,rodzaj
"ABTS ammonium salt","2,2′-Azino-bis(3-ethylbenzothiazoline-6-sulfonic acid) diammonium salt",C18H24N6O6S4,Sigma,A1888,,,solids
Acetaldehyd,,CH3CHO,Merck,,,,solids
Acetosyringon,"3,5-Dimethoxy-4-hydroxyacetophenon",C10H12O4,Sigma-Aldrich,"D13,440-6",,,solids
Adenine,6-aminopuryna,C5H5N5,"BIO 101",4060-012,,,solids
"Agar Bactteriological",,,Oxoid,,,,solids
"Agar No.1",,,Oxoid,L11,"2x, jeden w 07",,solids
Agar-agar,,,,A11121,,odsypany,solids
Agar-agar,,,Merck,1.01.614,,,solids
"Agar-agar, granulowany",,,Merck,1016145000,"2x 5 kg w 07",,solids
"Mikro Agar",,,Duchefa,"M 1002.1000",,,solids
"Muller-Hinton Agar 2",,,Fulka,97580,,,solids
"Plant Agar",,,Duchefa,"P 1001.1000",,,solids
Agarose,,,BioShop,Aga001.500,,,solids
"LMP Agarose",,,"Gibco BRL",5517UB,,,solids
"UltraPure Agarose",,,invitrogen,16500-500,,3x,solids
"UltraPure Agarose",,,invitrogen,15510-027,,,solids
b-Alanine,"kwas 3-aminopropionowy",NH2CH2CH2COOH,Sigma,A-9920,,,solids
DL-Alanine,"kwas 3-aminopropionowy",NH2CH2CH2COOH,CalBiochem,,,,solids
"DL-2-Aminobutyric acid","kwas aminomasłowy",C2H5CH(NH2)CO2H,Aldrich,"16,266-3",,,solids
"Albumine bovine blood serum cryst",,,,,,,solids
"Albumina bydlęca fr. V",,,Biomed,,,,solids
4-Aminoantypiryna,"4-amino-2,3dimetylo-1-fenylo-pirazolo-5-on",C11H13N3O,Sigma,,,,solids
"4-Aminosalicylic acid",PAS,C7H7NO3,Fluka,,,,solids
